nom_commune,pop_mun,pop_com,tx_pop,superficie_qp,density_qp,superficie_commune,density_commune,density_ratio,superficie_ratio
Agde,3177,25253,12.580683483150517,0.3573686170665335,88.89980396371847,49.424040629351644,5.109456790346458,17.399071488711115,0.7230663711746418
Albi,5132,49342,10.40087552186778,0.5185313438228238,99.28348136654915,44.850786722578924,11.001367780949115,9.024648874885967,1.1561254143214017
Alès,14621,40711,35.91412640318342,2.353125156757784,62.134391611134326,23.562358740353293,17.27798156738767,3.596160313564259,9.986797937711483
Anduze,1134,3377,33.58010068107788,0.11436752192831624,99.1540238767063,14.600438378031471,2.3129442504145614,42.86918020567698,0.783315671537638
Auch,1939,21962,8.828886258082141,0.22068993363922787,87.86082663696722,73.54256341895574,2.986297863305,29.421320530876233,0.3000846358618288
Aussillon,1283,6148,20.86857514638907,0.2188247201954083,58.631401372490906,10.102801907085645,6.085440511001282,9.634701262217064,2.16598050924798
Bagnols-sur-Cèze,4006,18218,21.989241409594907,0.320116808360933,125.1418199660175,31.10663062183165,5.856629160991166,21.367550603944796,1.0290950898946432
Beaucaire,6315,16036,39.380144674482416,0.5487916358584017,116.36164992596127,86.54125020294319,1.852989177114364,62.79672399769207,0.6341387888104925
Blagnac,1613,22969,7.022508598545866,0.09292418051478565,173.5823755522221,17.196204000851996,13.357017629508226,12.995593804469133,0.5403761231849871
Bédarieux,1955,6241,31.32510815574427,0.20815978448183706,93.91823713050506,28.05061024403754,2.2249070325757323,42.21220741155091,0.742086473951431
Béziers,26491,74811,35.410567964604134,2.8384671798673886,102.36787594078909,95.68763120714601,7.818251853058001,13.093448236865038,2.966388804967522
Cahors,1036,19616,5.281402936378466,0.26170989588301086,39.58581682609017,64.85092935053433,3.0247831752681544,13.08715849445334,0.40355612248578293
Carcassonne,9831,46724,21.04057871757555,1.3247129396322732,86.37128870635256,65.03876737185038,7.184022989375218,12.022691023412793,2.036805113569274
Carmaux,1877,9688,19.374483897605284,0.5039210113999669,37.24790111024379,14.207549470581881,6.818909918321911,5.462442172782105,3.5468538219302674
Castres,6317,41636,15.171966567393602,0.8380628570648436,85.44390867249437,98.33904551497376,4.233923542979703,20.18078687655319,0.8522178069515984
Colomiers,4179,38302,10.91065740692392,0.3755015559282938,107.55530524328842,21.01673494064254,18.22452446023426,5.901679655783232,1.786678839452565
Cugnaux,1059,16638,6.364947710061306,0.06869712819412437,154.15491561852156,12.91322970711983,12.884460648002323,11.96440579314607,0.5319902902079373
