code_qp,nom_qp,nom_commune,pop_mun,tx_pop_qp
QP034019,Centre Ville,Agde,3177,12.580683483150517
QP081008,Lapanouse,Albi,1244,2.5211787118479188
QP081007,Veyrières Rayssac,Albi,1782,3.6115277045924365
QP081006,Cantepau,Albi,2106,4.268169105427425
QP030001,Près Saint Jean - Cévennes - Tamaris - Cauvel-la Royale - Rochebelle - Centre ville,Alès,14621,35.91412640318342
QP030002,Centre Ville,Anduze,1134,33.58010068107788
QP032001,Grand Garros,Auch,1939,8.828886258082141
QP081001,La Falgalarié,Aussillon,1283,20.86857514638907
QP030010,Escanaux - Coronelle - Citadelle - Vigan Braquet,Bagnols-sur-Cèze,4006,21.989241409594907
QP030013,Centre Ville,Beaucaire,4374,27.276128710401597
QP030012,La Moulinelle,Beaucaire,1941,12.104015964080817
QP031004,Barradels,Blagnac,1613,7.022508598545866
QP034020,Centre Ville,Bédarieux,1955,31.32510815574427
QP034001,Centre Ville,Béziers,19054,25.46951651495101
QP034003,Devèze,Béziers,4605,6.155511889962706
QP034002,Iranget Grangette,Béziers,2832,3.7855395596904198
QP046001,Terre Rouge,Cahors,1036,5.281402936378466
QP011004,Bastide Pont-Vieux,Carcassonne,3775,8.079359643866107
QP011002,La Conte - Ozanam,Carcassonne,2060,4.408869103672631
QP011006,Grazailles,Carcassonne,1084,2.320006848728705
QP011003,Le Viguier - Saint-Jacques,Carcassonne,1862,3.9851040150672032
QP011005,Fleming La Reille,Carcassonne,1050,2.247239106240904
QP081009,Rajol - Cérou - Gourgatieux - Bouloc - Verrerie,Carmaux,1877,19.374483897605284
QP081004,Aillot Bisséous Lardaillé,Castres,2116,5.082140455375156
QP081002,Laden Petit Train,Castres,1254,3.0118166970890576
QP081005,Centre Ville,Castres,1649,3.9605149389951
QP081003,Lameilhé,Castres,1298,3.1174944759342877
QP031016,En Jacca,Colomiers,1168,3.0494491149287244
QP031005,Val D'Aran - Poitou - Pyrénées,Colomiers,3011,7.861208291995196
QP031017,Vivier Maçon,Cugnaux,1059,6.364947710061306
QP066001,Centre Ville,Elne,1226,14.50887573964497
QP009002,Centre Ancien,Foix,1236,12.701675059089508
QP034016,Les Deux Pins,Frontignan,1231,5.365704820852585
QP081010,Lentajou - Catalanis,Gaillac,1173,8.183340309753035
QP081011,Crins - En Gach,Graulhet,2701,22.876259845854154
QP030017,Trescol - La Levade,La Grand-Combe,1012,19.55177743431221
QP030016,Centre Ville - Arboux,La Grand-Combe,2421,46.77357032457496
QP011001,Quartier Aude,Limoux,2050,20.165256738146763
QP034022,Centre Ville,Lodève,3021,40.458015267175576
QP065004,Ophite,Lourdes,1165,7.955476645725212
QP034021,Centre Et Périphérie,Lunel,5726,22.89850435895385
QP011010,Centre Ville,Lézignan-Corbières,2993,26.668448721375746
QP082004,Sarlac,Moissac,1202,9.567016873607132
QP082003,Centre Ville,Moissac,2470,19.659344157911494
QP082001,Cœur de Ville,Montauban,3551,6.1307643169144175
QP082002,Médiathèque - Chambord,Montauban,3802,6.5641131886535105
